segment_id,segment_name,year,methodology,occcd,soctitle,employment,share,share_2024,share_2034,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,empl_2021,ep_openings_annual_avg,openings
1,1. Materials & Processing,2030,bea_bls,11-1011,Chief Executives,2.022141698567434,0.0004387244850079709,0.00041607722393270267,0.0004537079811159754,Bachelor's degree,5 years or more,,BA+,11.054418740116521,22.2,0.021249898189610764
1,1. Materials & Processing,2030,bea_moody,11-1011,Chief Executives,1.9556898976130894,0.0004387244850079709,0.00041607722393270267,0.0004537079811159754,Bachelor's degree,5 years or more,,BA+,11.054418740116521,22.2,0.020551582138961848
1,1. Materials & Processing,2030,lightcast_bls,11-1011,Chief Executives,11.804506287337759,0.0004387244850079709,0.00041607722393270267,0.0004537079811159754,Bachelor's degree,5 years or more,,BA+,11.054418740116521,22.2,0.09345857601956377
1,1. Materials & Processing,2030,lightcast_moody,11-1011,Chief Executives,11.416585548288557,0.0004387244850079709,0.00041607722393270267,0.0004537079811159754,Bachelor's degree,5 years or more,,BA+,11.054418740116521,22.2,0.09038733195416104
1,1. Materials & Processing,2030,bea_bls,11-1021,General and Operations Managers,41.8255718718176,0.009074488940427297,0.009070483481734259,0.009077138963957227,Bachelor's degree,5 years or more,,BA+,240.98632853457573,308.7,0.1290679217815627
1,1. Materials & Processing,2030,bea_moody,11-1021,General and Operations Managers,40.4510961964499,0.009074488940427297,0.009070483481734259,0.009077138963957227,Bachelor's degree,5 years or more,,BA+,240.98632853457573,308.7,0.12482648021794951
1,1. Materials & Processing,2030,lightcast_bls,11-1021,General and Operations Managers,244.16203200900628,0.009074488940427297,0.009070483481734259,0.009077138963957227,Bachelor's degree,5 years or more,,BA+,240.98632853457573,308.7,0.7022895128314139
1,1. Materials & Processing,2030,lightcast_moody,11-1021,General and Operations Managers,236.13835752409483,0.009074488940427297,0.009070483481734259,0.009077138963957227,Bachelor's degree,5 years or more,,BA+,240.98632853457573,308.7,0.6792108121883982
1,1. Materials & Processing,2030,bea_bls,11-2021,Marketing Managers,3.5975474217280046,0.0007805249953588938,0.0007489390030789048,0.0008014223829423976,Bachelor's degree,5 years or more,,BA+,19.897953732210798,34.3,0.047129770843421806
1,1. Materials & Processing,2030,bea_moody,11-2021,Marketing Managers,3.479324497309875,0.0007805249953588938,0.0007489390030789048,0.0008014223829423976,Bachelor's degree,5 years or more,,BA+,19.897953732210798,34.3,0.04558098810810227
1,1. Materials & Processing,2030,lightcast_bls,11-2021,Marketing Managers,21.001135177059787,0.0007805249953588938,0.0007489390030789048,0.0008014223829423976,Bachelor's degree,5 years or more,,BA+,19.897953732210798,34.3,0.20829260131359026
