segment_id,segment_name,year,employment_qcew_raw,employment_coreauto,naics_count,share_min,share_max,share_weighted
1,Materials & Processing - Coatings & Surface Treatments,2001,22143.0,8445.14,2,0.34,0.56,0.38139095876800794
1,Materials & Processing - Coatings & Surface Treatments,2002,20908.0,8015.560000000001,2,0.34,0.56,0.38337287162808503
1,Materials & Processing - Coatings & Surface Treatments,2003,20090.0,7715.660000000001,2,0.34,0.56,0.3840547536087606
1,Materials & Processing - Coatings & Surface Treatments,2004,20005.0,7678.18,2,0.34,0.56,0.38381304673831546
1,Materials & Processing - Coatings & Surface Treatments,2005,19499.0,7382.72,2,0.34,0.56,0.3786204420739525
1,Materials & Processing - Coatings & Surface Treatments,2006,18854.0,7136.140000000001,2,0.34,0.56,0.3784947491248542
1,Materials & Processing - Coatings & Surface Treatments,2007,18558.0,7026.920000000001,2,0.34,0.56,0.37864640586270076
1,Materials & Processing - Coatings & Surface Treatments,2008,17346.0,6562.92,2,0.34,0.56,0.37835351089588376
1,Materials & Processing - Coatings & Surface Treatments,2009,12885.0,4929.360000000001,2,0.34,0.56,0.3825657741559954
1,Materials & Processing - Coatings & Surface Treatments,2010,13755.0,5210.200000000001,2,0.34,0.56,0.3787858960378045
1,Materials & Processing - Coatings & Surface Treatments,2011,15563.0,5904.780000000001,2,0.34,0.56,0.37941142453254517
1,Materials & Processing - Coatings & Surface Treatments,2012,16981.0,6478.42,2,0.34,0.56,0.38150992285495555
1,Materials & Processing - Coatings & Surface Treatments,2013,17370.0,6661.280000000001,2,0.34,0.56,0.3834933793897525
1,Materials & Processing - Coatings & Surface Treatments,2014,18507.0,7191.74,2,0.34,0.56,0.38859566650456584
1,Materials & Processing - Coatings & Surface Treatments,2015,18315.0,7158.360000000001,2,0.34,0.56,0.3908468468468469
1,Materials & Processing - Coatings & Surface Treatments,2016,18216.0,7189.82,2,0.34,0.56,0.3946980676328502
1,Materials & Processing - Coatings & Surface Treatments,2017,18429.0,7306.460000000001,2,0.34,0.56,0.3964653535189105
1,Materials & Processing - Coatings & Surface Treatments,2018,18583.0,7390.5,2,0.34,0.56,0.3977022009363397
1,Materials & Processing - Coatings & Surface Treatments,2019,18773.0,7499.3200000000015,2,0.34,0.56,0.3994737122463113
1,Materials & Processing - Coatings & Surface Treatments,2020,15939.0,6445.56,2,0.34,0.56,0.40438923395445137
1,Materials & Processing - Coatings & Surface Treatments,2021,16061.0,6468.56,2,0.34,0.56,0.402749517464666
1,Materials & Processing - Coatings & Surface Treatments,2022,16007.0,6457.9,2,0.34,0.56,0.40344224401824197
1,Materials & Processing - Coatings & Surface Treatments,2023,16200.0,6498.4400000000005,2,0.34,0.56,0.4011382716049383
1,Materials & Processing - Coatings & Surface Treatments,2024,15568.0,6249.460000000001,2,0.34,0.56,0.40142985611510795
1,Materials & Processing - Metals,2001,15378.0,7273.91,4,0.37,0.54,0.47300754324359473
1,Materials & Processing - Metals,2002,13748.0,6568.450000000001,4,0.37,0.54,0.4777749490835031
1,Materials & Processing - Metals,2003,13135.0,6245.610000000001,4,0.37,0.54,0.47549371907118393
1,Materials & Processing - Metals,2004,12738.0,6002.700000000001,4,0.37,0.54,0.47124352331606223
1,Materials & Processing - Metals,2005,12402.0,5854.26,4,0.37,0.54,0.4720416061925496
1,Materials & Processing - Metals,2006,12105.0,5721.570000000001,4,0.37,0.54,0.4726617100371748
1,Materials & Processing - Metals,2007,12152.0,5761.74,4,0.37,0.54,0.4741392363396972
1,Materials & Processing - Metals,2008,11565.0,5507.27,4,0.37,0.54,0.4762014699524428
1,Materials & Processing - Metals,2009,8894.0,4213.85,4,0.37,0.54,0.4737856982235215
1,Materials & Processing - Metals,2010,9644.0,4602.870000000001,4,0.37,0.54,0.47727810037328916
1,Materials & Processing - Metals,2011,11093.0,5344.650000000001,4,0.37,0.54,0.48180384025962325
1,Materials & Processing - Metals,2012,10884.0,5236.950000000001,4,0.37,0.54,0.4811604189636164
1,Materials & Processing - Metals,2013,11334.0,5383.74,4,0.37,0.54,0.47500794070937
1,Materials & Processing - Metals,2014,11577.0,5482.34,4,0.37,0.54,0.47355446143214996
1,Materials & Processing - Metals,2015,11816.0,5496.02,4,0.37,0.54,0.4651337169939066
1,Materials & Processing - Metals,2016,11591.0,5367.18,4,0.37,0.54,0.4630471917867311
1,Materials & Processing - Metals,2017,11768.0,5421.42,4,0.37,0.54,0.4606917063222298
1,Materials & Processing - Metals,2018,11868.0,5469.3,4,0.37,0.54,0.4608442871587462
1,Materials & Processing - Metals,2019,11686.0,5385.72,4,0.37,0.54,0.4608694163956872
1,Materials & Processing - Metals,2020,9426.0,4306.240000000001,4,0.37,0.54,0.45684701888393814
1,Materials & Processing - Metals,2021,9099.0,4118.38,4,0.37,0.54,0.45261896911748545
1,Materials & Processing - Metals,2022,9148.0,4128.88,4,0.37,0.54,0.4513423699169217
1,Materials & Processing - Metals,2023,9271.0,4204.21,4,0.37,0.54,0.45347966778125337
1,Materials & Processing - Metals,2024,9192.0,4157.8,4,0.37,0.54,0.4523281114012185
1,Materials & Processing - Non-Metals,2001,59046.0,22023.01,4,0.09,0.67,0.3729805575314162
1,Materials & Processing - Non-Metals,2002,55502.0,20678.54,4,0.09,0.67,0.3725728802565674
